col_0,REGION,DATE,DATE_parsed,YEAR,MONTH,DAY,PROFIL_TOTAL,PROFIL_ENT,PROFIL_PRO,PROFIL_RES,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,SUNHOUR,TEMPERATURE_NIGHT_C,TEMPERATURE_MEAN,HOLIDAYS,IS_WEEKEND,IS_LOCKDOWN_1,IS_LOCKDOWN_2,IS_LOCKDOWN_3,IS_LOCKDOWN_TT,IS_PUBLIC_HOLIDAYS
47,Hauts-de-France,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,2020,1,24,74691468,1837011,14119530,58734927,6,0,6,0,5,4,0,93,9,1026,16,6,1,-3,9,0,2,0,0,0,0,0,0,0
49,Hauts-de-France,2020-01-25T00:00:00.000Z,2020-01-25T00:00:00.000Z,2020,1,25,73102347,1271102,12696923,59134322,6,1,10,1,5,5,0,88,10,1023,39,6,4,-1,7,1,3,0,1,0,0,0,0,0
51,Hauts-de-France,2020-01-26T00:00:00.000Z,2020-01-26T00:00:00.000Z,2020,1,26,69635334,1208451,11192081,57234802,8,2,19,2,6,7,0,95,8,1017,63,8,6,-2,5,2,4,0,1,0,0,0,0,0
53,Hauts-de-France,2020-01-27T00:00:00.000Z,2020-01-27T00:00:00.000Z,2020,1,27,68041410,1772704,12902959,53365747,9,6,24,8,9,8,10,92,7,1011,95,9,7,4,3,8,8,0,0,0,0,0,0,0
55,Hauts-de-France,2020-01-28T00:00:00.000Z,2020-01-28T00:00:00.000Z,2020,1,28,68449987,1854860,13438246,53156881,6,1,34,4,6,4,11,86,8,1003,89,6,4,-1,3,5,5,0,0,0,0,0,0,0
57,Hauts-de-France,2020-01-29T00:00:00.000Z,2020-01-29T00:00:00.000Z,2020,1,29,67317747,1823198,13023848,52470701,7,2,23,2,6,5,1,84,10,1016,54,7,2,-2,6,2,4,0,0,0,0,0,0,0
59,Hauts-de-France,2020-01-30T00:00:00.000Z,2020-01-30T00:00:00.000Z,2020,1,30,65296787,1805707,13044972,50446108,9,3,21,5,7,8,0,95,10,1014,83,10,9,1,3,5,6,0,0,0,0,0,0,0
61,Hauts-de-France,2020-01-31T00:00:00.000Z,2020-01-31T00:00:00.000Z,2020,1,31,58532026,1683525,12168665,44679836,12,8,23,10,12,11,0,88,10,1013,94,12,10,7,3,11,11,0,0,0,0,0,0,0
63,Hauts-de-France,2020-02-01T00:00:00.000Z,2020-02-01T00:00:00.000Z,2020,2,1,56854904,1142607,10788121,44924176,12,7,33,11,12,9,10,94,8,1014,84,12,11,8,3,11,11,0,0,0,0,0,0,0
65,Hauts-de-France,2020-02-02T00:00:00.000Z,2020-02-02T00:00:00.000Z,2020,2,2,55373872,1091316,9612169,44670387,13,7,29,9,13,12,4,95,9,1014,92,13,11,6,3,8,10,0,1,0,0,0,0,0
67,Hauts-de-France,2020-02-03T00:00:00.000Z,2020-02-03T00:00:00.000Z,2020,2,3,53763343,1557781,11078962,41126600,11,7,25,10,10,9,3,88,9,1017,97,11,9,7,4,10,10,0,0,0,0,0,0,0
